player_id,year,league,team,salary_usd_low,salary_usd_mid,salary_usd_high,position,nationality,college_path,academy_path,draft_round,age_at_pro_debut,us_homegrown,transferred_abroad,transfer_fee_usd,notes,source
PR001,2026,MLS,Various,88025,325000,25000000,All,Mixed,mixed,mixed,mixed,22,mixed,No,,"REAL DATA 4/14/2026: n=916 players 31 clubs; min=$88025 p25=$113400 median=$325000 mean=$604606 p75=$656750 p90=$1200000 p95=$2190625 max=$25000000 (Messi); 17% at minimum; 13% earn $1M+; 3% earn $3M+; total league payroll=$553818662",MLSPA Spring 2026 Salary Guide s3.amazonaws.com/mlspa/Spring-2026-MLSPA-Salary-Guide.csv
PR002,2024,MLS,Various,65000,350000,3500000,All,US,Yes,No,1-3,23,No,No,,MLS SuperDraft picks,MLSPA 2024
PR003,2024,MLS,Various,65000,180000,750000,All,US,No,Yes,0,19,Yes,No,,MLS Homegrown players (signed from academy),MLSPA 2024
PR004,2024,NWSL,Various,35000,75000,200000,All,US,Yes,No,1-3,23,No,No,,NWSL aggregate salary,NWSL CBA 2024
PR005,2024,NWSL,Various,35000,100000,300000,All,US,No,Yes,0,19,Yes,No,,NWSL Homegrown,NWSL 2024
PR006,2024,USL Championship,Various,25000,50000,120000,All,US,mixed,mixed,mixed,22,No,No,,USL Championship (second division),USL 2024
PR007,2024,USL League One,Various,18000,30000,80000,All,US,mixed,mixed,mixed,21,No,No,,USL League One (third division),USL 2024
PR008,2024,MLS NEXT Pro,Various,50000,80000,150000,All,US,No,Yes,0,19,mixed,No,,MLS reserve/developmental league,MLS NEXT Pro 2024
PR009,2024,Bundesliga,Various,250000,1500000,12000000,All,US,mixed,mixed,0,21,No,Yes,5000000,US players in German top flight,Transfermarkt 2024
PR010,2024,Premier League,Various,500000,3000000,25000000,All,US,mixed,mixed,0,22,No,Yes,15000000,US players in English top flight,Transfermarkt 2024
PR011,2024,La Liga,Various,300000,2000000,15000000,All,US,mixed,mixed,0,21,No,Yes,8000000,US players in Spanish top flight,Transfermarkt 2024
PR012,2024,Serie A,Various,200000,1200000,10000000,All,US,mixed,mixed,0,22,No,Yes,4000000,US players in Italian top flight,Transfermarkt 2024
PR013,2024,Liga MX,Various,100000,400000,2000000,All,US,mixed,mixed,0,21,No,Yes,1000000,US players in Mexican top flight,Transfermarkt 2024
PR014,2024,MLS (Designated Player),Various,750000,2000000,20000000,All,Mixed,No,No,0,26,No,No,,DP slots not US-path specific; comp reference,MLSPA 2024
PR015,2010,MLS Career Duration,Various,,,,,US,mixed,mixed,mixed,,,No,No,,PEER-REVIEWED: initial career expectancy 2.4 yrs; ~30% exit after 1 season; min annual exit rate 12%; foreign-born 2.2x exit odds; by yr4 expect 2.6 more yrs (~6.6 total),Watanabe et al. 2010 DOI:10.2202/1559-0410.1261
PR016,2019,Academy to Pro Rate,Various,,,,,Mixed,No,Yes,0,,,No,No,,PEER-REVIEWED: n=1071 academy players; only 4.7% (40 players) reached professional first team; RAE: Q4 (Oct-Dec) players who persist have 3x better odds,Beron et al. 2019 DOI:10.1080/24733938.2019.1696471
PR017,2016,College to Pro Ratio,Various,,,,,US,Yes,No,mixed,23,,No,No,,PEER-REVIEWED: ~38000 mens college soccer players; only ~1800 pro roster spots across all US tiers; vast majority use soccer for education not career,Dure et al. 2018 DOI:10.1080/14660970.2017.1419469
